Proverbs,Explanation
من أكل التمني خري التنهد,يضرب هذا المثل لمن يُمَنِّي نفسه بالأمنيات فقط ، و لايعمل ، “لو يقع لي زلط لافعل و اترك” “لو بس تسبر لي هذه فباسوي و اعمل”، فلا تكون نتائجه إلا خيبات الأمل و التنهدات. لذلك يقول الشاعر أحمد شوقي وما نيل المطالب بالتمني ولكن تؤخذ الدنيا غلابَا.
النوب النحل ما تتبع إلا أبوها.,يضرب للأفراد الذين يتبعون زعيمهم.
ولا بيت إلا وفيبه زولي,ولا بيت إلا وفيبه زولي بمعنى أن في كل عائلة هناك شخص يكون غير أهله في الطباع و الأخلاق. و مثله مابش بيت إلا و فيه حمام.
الذي ما عنده عيد يقول عيدي العافيه.,يضرب للشخص الذي لا يملك شيئا فيتظاهر بالقناعة والاستغناء عنه.
ما تفقد الشمس إلا لقد غابت.,يضرب لأهمية الشخص ومنزلته في قومه.
عابب ولا تحاسد,عابب : من المعاببة ، وهي المنافسة .. ويضرب هذا المثل في التشجيع على المنافسة في فعل ما يحمد عليه المرء وذم التحاسد.
من تحيِّلْ في الشِّرْكَهْ عاقَبَهَ الله في المرق,تحيِّلْ – تحايل الشِّرْكَهْ – أي اللحم و هو ما إشترك فيه مجموعه من الناس كالذبيحة يأتي هذا المثل بمعنى أن من يتحايل و يخادع في شيء ما سيتحمل النتائج في أشياء أخرى.
الحمار في شعب النعيم ينوق.,يضرب للرجل الذي يكون فقيرًا ثم يرزقه الله فيبطر.
كل ماكل امْجمال وقُمْ قَبل امْرجال,مثل قديم جداً وما زال متداول في تهامة خاصة ويتداوله البقية في اليمن عامة ولكن ربما بصيغة أخرى. وهو يُعد من أسوأ الأمثال على الإطلاق. إذ لم نجني سوى المتاعب والمصائب الملقية على أجهزة الهضم. في الأعراس والمناسبات يبدأ الناس بالتحلق حول موائد الطعام أو بالأصح بالانقضاض عليها. بعدها لن ترى إلا الأيادي ترتفع والافواه تلتهم بشراسة كل ما هو ملقي أمامهم وكأن الأمر برمته مجرد معركة بينهم وبين الطعام والوقت ويجب إنهاءها في أقل من خمس دقائق. وبعدها لن يحصلوا سوى على نصر إجتماعي زائف وخسارات مبينة للمعدة وللقولون ولبقية أعضاء جهاز الهضم.
القرد بعين أمه غزال.,يقال هذا المثل لنظرة الأم لأولادها، أو تمييز الإنسان لعزيز لديه بكل ما هو جميل.
من تصبح بكذبة ما تعشى بها,يضرب هذا المثل في الكذب الذي لا يدوم و لابد أن تنكشف حقيقته طال الزمان أو قصر.
من ساير المعالي عِلي ومن ساير المداني دِنى,ساير : صاحب المداني : آراذل القوم بمعنى من صاحب عليه القوم ارتفع قدره، ومن صحب أراذلهم انحط قدره .
أول السرقة بيضة,يؤكد هذا المثل على أن السارق أول ما يبدأ تعلم السرق يبدأ بسرقة الأشياء الصغيرة التي بالكاد تلفت الانتباه، كالبيضة في المثل. و مع مرور الوقت، يتدرج شيئا فشيئا إلى سرقات أكبر.
السراج المغنزي ولا الغدره.,يعني وجود الشيء وإن كان يسيرا أفضل من لا شيء. المغنزي: ضعيف الضوء، الغدرة: الظلام.
ريتك من ضرب ذنه.,يقال لعدم الاكتراث بأمر الآخرين. ذنه: منطقة في محافظة مأرب.
طبينتي ولو من عجينتي,مثل يمنى قديم له قصة حقيقية بانه كان هناك بقرية ما رجل متزوج من ابنت عمه وكانت كل يوم تقوم من النوم وقت الفجر تُعد الفطور كما هي العادة في القرى وفي يوم من الأيام وأثناء ما كانت تخبز قامت بعمل ملوجة نوع من الخبز وقامت بالرسم على الملوجة عينين وفم و أنف وشكلتها على شكل وجه بنت و وضعتها أمام زوجها بغرض اضحاكه و كان الزوج ينظر إلى هذا الوجه المرسوم في الملوجه ويبتسم ويمعن النظر فيها فقام و أخذها إلى يده وقربها من وجهه وقبلها ، فتضايقت زوجته عندما رأته مهتما بالملوجة كثيرا فقامت وسحبت الملوجه من يد زوجها وصاحت طبينتي ولو من عجينتي وقسمت الملوجه الي نصفين واكلت منها
لا تربط حمارك جنب حمار المدبر ، يدْبِرَكْ من دَبُورِه,المدبر: سيء الحظيدبرك : يعديك سوء الحظ الذي لديهدَبُورِ: سوء الحظيشير هذا المثل إلى أن الناس يميلون إلى التأثر بالبيئة التي يعيشون فيها و بطبائع و أخلاق من حولهم من أصحاب و أقارب.
يفصل من السحاب قمصان,"يقال هذا المثل للشخص الذي يبيع الأوهام للناس، يسرد لهم أحلاماً وهميّة ويبني آمالهم على أساس خيالي. حيث يقوم بإنشاء وهم يجعل الناس يعيشون في عالم من الخيال، حيث يتم إقناعهم بوجود أمور غير حقيقية أو تحقق أمنيات خيالية. يمكن أن يكون ذلك نتيجة لتلاعبه بالمعلومات أو استخدامه لتكتيكات التلاعب النفسي لتحقيق أهدافه. في النهاية، يكون قمصانهم من الغيوم، فهي تظهر جميلة ومليئة بالأماني، ولكنها في الواقع غير ملموسة وقد تتلاشى بسرعة أمام واقع الحياة. أمثال مشابهة الترجمة بالإنجليزية . , . , . ’ . , ; , , ."
جحينه لي وحدي، ولا سبايا لي وللناس,يضرب في المرأة الجميلة لا تكون مخلصة لزوجها والمرأة غير الجميلة تكون مخلصة. وورد في أصل المثل أن رجلاً كانت عنده امرأة جميلة، ولكن تبيّن له أنها لم تكن مخلصة له فطلقها، وتزوج بأخرى غير جميلة، فسئل، فأجب بهذا المثل.
أصبحت اللقية سود,اللقية – كنز.سود – فحم.يضرب هذا المثل في الشيء الذي تؤمل فيه الخير الكثير ، لكن بعد الجهد الشاق في الإنتظار، يتبين أن النتيجة مخيبة للآمال.
زايد على يحلق.,يضرب للرجل الذي يعطى شيئًا نافعًا من دون مقابل فيطلب منه أن يكون جديدًا أو كثيرًا.
ما حد ينكش الطين يأذيه.,لمن يثير المشاكل ويُكوَى بنارها.
خيرة شي مقابلة موجاه.,يضرب عند المواجهة بين شخصين متخاصمين.
شقي الحمار متحه.,يضرب المثل لمن يقابل الجميل بالإنكار. شقي: يثيب أو يجازي، متحه: ضربة.
قدي الا تيك المقرمة,من أمثال منطقة الأهنوم.. قدي: قد تيك: تِلك المقرمة: خِمار تغطي به المرأة رأسها معنى المثل أي اذا كان ولابد من المقرمة فلتكن مقابل شيء.. والأصل في المثل أن إمرأة كان يحدث بينها وبين زوجها مشاجرة أو خلاف بسيط فتذهب إلى بيت أهلها ولو لم يكن هناك مبرر ولاسبب مقنع، وكانت لاتعود إلا إذا راجعها زوجها، وأعطاها مقرمة.. وذات مرة حصل بينهما خلاف في الرأي، وأخذت تتأهب للخروج من بيت زوجها للذهاب إلى بيت أهلها كعادتها، فما كان من زوجها الا ان قام بضربها وقال: قدي إلا تيك المقرمة
دقن يسليها بُصلي,المثل يضرب في الأشخاص التافهين الذين ينزلوا بقدر أنفسهم و يقبلوا بالأشياء الدنيئة والتافهة.
